review,rating,helpful_votes,platform,language,location,version,verified_purchase,date_clean,review_length_clean,review_clean,clean_token_count,sentiment
"Not satisfied, many bugs and issues.",1,80,Amazon,zh,Kenya,2.1.4,No,,36,not satisfy many bug issue,5,Negative
Amazing quality and user-friendly interface.,5,180,Flipkart,zh,France,1.2.3,No,,44,amaze quality user friendly interface,5,Positive
"Terrible experience, needs major improvements.",2,154,Flipkart,pt,USA,1.2.3,No,,46,terrible experience need major improvement,5,Negative
Poor performance and not user-friendly.,1,96,Amazon,es,Qatar,2.1.4,Yes,,39,poor performance not user friendly,5,Negative
"Not satisfied, many bugs and issues.",2,139,Website,ar,Kenya,2.1.4,No,,36,not satisfy many bug issue,5,Negative
"Waste of time, does not meet expectations.",2,156,App Store,en,Nepal,3.5.6,No,2024-05-05,42,waste time not meet expectation,5,Negative
"Highly satisfied, the app works exactly as expected.",4,186,Google Play,fr,Qatar,2.1.4,No,2024-03-09,52,highly satisfy app work exactly expect,6,Positive
"Highly satisfied, the app works exactly as expected.",4,152,Amazon,ja,Italy,5.0.3,No,2024-03-08,52,highly satisfy app work exactly expect,6,Positive
"Excellent app, very easy to use and extremely helpful.",4,87,Amazon,en,Germany,5.0.3,No,,54,excellent app easy use extremely helpful,6,Positive
"Great experience, smooth performance and useful features.",5,27,Flipkart,en,Nepal,3.5.6,Yes,,57,great experience smooth performance useful feature,6,Positive
Works fine but there is room for improvement.,3,190,Flipkart,en,France,1.2.3,No,,45,work fine room improvement,4,Neutral
"Not bad, but updates are needed for better performance.",3,153,Google Play,hi,Poland,4.2.1,No,,55,not bad update need better performance,6,Neutral
"Highly satisfied, the app works exactly as expected.",5,6,Website,hi,Qatar,3.5.6,No,,52,highly satisfy app work exactly expect,6,Positive
"Highly satisfied, the app works exactly as expected.",4,51,Flipkart,pt,UK,5.0.3,Yes,,52,highly satisfy app work exactly expect,6,Positive
Works fine but there is room for improvement.,3,78,Flipkart,hi,USA,3.5.6,Yes,2024-06-02,45,work fine room improvement,4,Neutral
"Terrible experience, needs major improvements.",1,89,Google Play,fr,Kenya,1.2.3,No,,46,terrible experience need major improvement,5,Negative
Amazing quality and user-friendly interface.,4,83,Google Play,ja,India,3.5.6,No,,44,amaze quality user friendly interface,5,Positive
Poor performance and not user-friendly.,2,156,Flipkart,hi,Qatar,1.2.3,Yes,,39,poor performance not user friendly,5,Negative
"Excellent app, very easy to use and extremely helpful.",5,33,Website,pt,USA,5.0.3,No,2024-06-05,54,excellent app easy use extremely helpful,6,Positive
"Decent app, neither too good nor too bad.",3,55,App Store,pt,UK,3.5.6,Yes,2025-01-03,41,decent app neither good nor bad,6,Neutral
"Highly satisfied, the app works exactly as expected.",4,152,Google Play,zh,India,1.2.3,No,,52,highly satisfy app work exactly expect,6,Positive
Poor performance and not user-friendly.,1,97,Amazon,ja,Germany,5.0.3,Yes,2024-07-01,39,poor performance not user friendly,5,Negative
Very reliable and worth using regularly.,4,20,Flipkart,ar,Kenya,4.2.1,Yes,,40,reliable worth use regularly,4,Positive
Poor performance and not user-friendly.,2,126,Google Play,fr,Qatar,2.1.4,Yes,,39,poor performance not user friendly,5,Negative
"Average experience, some features could be improved.",3,75,Flipkart,fr,USA,4.2.1,Yes,,52,average experience feature could improve,5,Neutral
The app is okay and does its job reasonably well.,3,88,Website,en,UK,1.2.3,Yes,,49,app okay job reasonably well,5,Neutral
Amazing quality and user-friendly interface.,4,43,Flipkart,pt,Kenya,3.5.6,Yes,,44,amaze quality user friendly interface,5,Positive
Poor performance and not user-friendly.,2,91,Flipkart,fr,Qatar,2.1.4,No,2025-04-08,39,poor performance not user friendly,5,Negative
The app is okay and does its job reasonably well.,3,118,App Store,fr,Italy,1.2.3,No,,49,app okay job reasonably well,5,Neutral
Very reliable and worth using regularly.,5,127,Google Play,hi,Kenya,3.5.6,No,,40,reliable worth use regularly,4,Positive
"Average experience, some features could be improved.",3,139,Website,es,Poland,5.0.3,No,,52,average experience feature could improve,5,Neutral
"Very disappointing experience, the app crashes often.",2,199,App Store,en,Germany,2.1.4,No,,53,disappoint experience app crash often,5,Negative
"Average experience, some features could be improved.",3,164,Amazon,hi,Germany,4.2.1,Yes,2024-02-09,52,average experience feature could improve,5,Neutral
"Average experience, some features could be improved.",3,156,App Store,es,Kenya,5.0.3,No,,52,average experience feature could improve,5,Neutral
Very reliable and worth using regularly.,4,65,Amazon,de,UK,1.2.3,No,,40,reliable worth use regularly,4,Positive
"Decent app, neither too good nor too bad.",3,6,Amazon,zh,Italy,4.2.1,No,,41,decent app neither good nor bad,6,Neutral
"Not satisfied, many bugs and issues.",1,169,Website,hi,Nepal,5.0.3,No,,36,not satisfy many bug issue,5,Negative
Works fine but there is room for improvement.,3,80,Flipkart,es,Germany,1.2.3,Yes,,45,work fine room improvement,4,Neutral
"Great experience, smooth performance and useful features.",4,20,Flipkart,zh,USA,2.1.4,No,,57,great experience smooth performance useful feature,6,Positive
"Excellent app, very easy to use and extremely helpful.",4,153,Google Play,en,USA,1.2.3,Yes,,54,excellent app easy use extremely helpful,6,Positive
"Very disappointing experience, the app crashes often.",2,105,Google Play,fr,Qatar,5.0.3,Yes,,53,disappoint experience app crash often,5,Negative
Amazing quality and user-friendly interface.,5,120,App Store,es,Nepal,1.2.3,No,,44,amaze quality user friendly interface,5,Positive
"Waste of time, does not meet expectations.",1,105,Flipkart,hi,USA,4.2.1,Yes,,42,waste time not meet expectation,5,Negative
"Highly satisfied, the app works exactly as expected.",5,55,Flipkart,pt,USA,1.2.3,No,2024-08-06,52,highly satisfy app work exactly expect,6,Positive
Amazing quality and user-friendly interface.,4,69,Amazon,es,USA,1.2.3,Yes,,44,amaze quality user friendly interface,5,Positive
"Great experience, smooth performance and useful features.",4,186,Flipkart,fr,France,1.2.3,Yes,,57,great experience smooth performance useful feature,6,Positive
Amazing quality and user-friendly interface.,4,86,Website,ar,Poland,5.0.3,No,2024-03-01,44,amaze quality user friendly interface,5,Positive
"Not satisfied, many bugs and issues.",1,87,Website,pt,USA,3.5.6,Yes,,36,not satisfy many bug issue,5,Negative
Works fine but there is room for improvement.,3,143,Amazon,ar,Italy,2.1.4,Yes,,45,work fine room improvement,4,Neutral
